term_uuid	lbl	class_code	class_name	tier	method	reason	gtc_ids	n_sources
GSD:48f5dc7c-77b8-5e42-98c5-768334218a4e	keratan sulfate–related glycan antigens	1A	Canonical named glycan entity	1	llm	"contains canonical GAG ""keratan sulfate"""		1
GSD:85d6d0f2-2894-4933-8805-aef2daea4421	cytolipin K	X	Outside scheme	X	llm	non‑glycan lipid term	G00061MO	1
GSD:04d45d70-b2b3-5f73-bbe0-cf1fd8a53b5d	LacNAc	1B	Named recurrent structural feature	1	llm	Recognized substructure feature	G66213AR	5
GSD:4a34d191-5be6-4d2c-a6d3-11af678e1f4f	globotriaosylceramide	1A	Canonical named glycan entity	1	llm	canonical globo-series glycan	G00059MO	3
GSD:15331070-8cdb-43d9-a119-dd63f1a73802	GM4	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G30207PZ; G77824XV	9
GSD:66f89a52-b76d-4714-a2f2-a92114ca054c	GP1c	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G93805MV; G26203DP; G04433GV; G77608BK	8
GSD:3dab600a-ad2a-4f3c-a67f-0d60eb50a913	GQ1c	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G99524KA; G54442GQ	8
GSD:e5e9762a-3708-4f4d-a675-4a469995e3ca	GT1a	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G68110IF; G93468NI	10
GSD:1e1a61c1-7758-46f5-b5b7-ff3b534a79ea	GT2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G36476BA; G35228ZS	11
GSD:0faf2439-6ae7-4f74-84c4-9008692b7086	GT3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G93899SO; G33570YF	12
GSD:dfa723f4-07b0-4cb4-97e4-88e60dd82890	isoglobotetraosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G57710SU; G19926LY; G32862WC	6
GSD:42d15d6c-3af7-48d4-b3c9-54405ebc70d3	lactotriaosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G06239NA; G71142DF; G87727XV	9
GSD:c076a6cd-d503-4c4f-8f25-2adfdf739708	LcGg4	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G62554JH; G85237WB	6
GSD:662184b8-4ef9-426d-8391-7c163250ce9d	Lewis a	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00047MO; G39023AU; G26123AX	13
GSD:6b96f33b-d7b7-5e34-ad41-d3b621495dff	lacto-series glycosphingolipids	3A	Umbrella / glycoconjugate class	3	llm	family-level grouping	G00069MO	4
GSD:23d26af4-50e5-471b-9fc8-64abacea97d5	monosialylated N-glycan	2B	Single descriptor phrase	2	llm	single descriptor + N‑glycan		1
GSD:898a8243-636a-5c97-90ac-fa638de41d03	Leishmania lipophosphoglycan repeat unit	3C	Association-defined glycan marker	3	llm	contains Leishmania reference		1
GSD:185f10ba-89ae-4527-a8d7-5e4f0daa4565	monosialylated biantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:232bb3ce-533d-555d-a9f4-ed9809d4ad1d	levan-type fructan	1C	Non-GAG homo/hetero-polymer	1	llm	Plant polysaccharide levan – non‑GAG polymer		1
GSD:593531d5-b025-49cc-9e8e-bde0db60be92	monosialyl Gb5	1A	Canonical named glycan entity	1	llm	named globo-series glycan	G32254QI	5
GSD:c0ad2422-5391-4241-a96b-98ae8e55eb8b	monosulfated globopentaosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G80193TN; G30925QW; G57710SU	5
GSD:bd45bada-5e44-471c-a569-8c32b3351756	monosulfated globotetraosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G05297EK; G50866KI; G44854SQ; G87212TR	6
GSD:28681753-41cf-493d-b715-15ca3ecb7795	N-acetyl GM2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G79389NT	5
GSD:9be48202-88cd-40b6-ab89-a0a4d4aebbdd	N-acetyllactosamine (type 1)	2C	Composite descriptive phrase	2	llm	compound descriptor	G00056MO	1
GSD:cabb56b2-34c2-5250-be10-65af64594104	Lewis antigens	3A	Umbrella / glycoconjugate class	3	llm	umbrella family		1
GSD:92dcd6b9-f368-4d91-90b7-04877d3248a9	N-acetyllactosamine (type 2)	1B	Named recurrent structural feature	1	llm	Recognized glycobiology feature – lactosamine	G00055MO	3
GSD:afd1e48b-3bef-499a-a5cb-5ca1ce262a0a	N-glycolyl GM2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G56478LD; G18221CF	10
GSD:29cf4976-eff8-5c90-b2ce-05ee2f1e908a	lipid A core oligosaccharide	1A	Canonical named glycan entity	1	llm	canonical glycan entity	G00022MO	2
GSD:ef121878-ca41-4a09-a259-e14225b9eaee	nonfucosylated N-glycan	2B	Single descriptor phrase	2	llm	single descriptor plus noun		1
GSD:97780e7f-7a97-52e0-bcef-62e033517882	lipo-chitooligosaccharide	2C	Composite descriptive phrase	2	llm	upgraded from 2B: contains two distinct descriptors – ‘lipid’ and ‘chitooligosaccharide’		1
GSD:c8af37cc-f74c-4674-9d04-342c4fc95dc4	nonfucosylated biantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors with noun		1
GSD:7248b6bb-13a3-4a30-ad02-e4072d9dbf3c	nonfucosylated triantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:5ce320b8-ced2-5597-9134-b409afd7632f	lipoglycan	2B	Single descriptor phrase	2	llm	generic composite term		1
GSD:03a31ec3-32e0-4b58-aece-3666cc2358cb	nonsialylated N-glycan	2B	Single descriptor phrase	2	llm	single descriptor plus N‑glycan		1
GSD:755bd8b9-fb88-5107-b53c-4a9fa6a0f664	lipopeptidophosphoglycan	2C	Composite descriptive phrase	2	llm	upgraded from 2B: The term combines several structural elements (lipid, peptide, phosphate, glucose) and thus represents more than one descriptor.		1
GSD:dea28036-c3f0-562f-9196-0d68504e1445	lipophosphoglycan	2B	Single descriptor phrase	2	llm	default fallback		1
GSD:c1fd04f7-a8fa-416b-859d-3ff67bd19aa5	O-glycan	3A	Umbrella / glycoconjugate class	3	llm	umbrella N/O attachment class		1
GSD:8842a371-cbbf-4cbb-a590-d3257df4f2d2	Para-Forssman glycolipid	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G51699SI; G98848EU	6
GSD:59303526-22bb-44e3-bdb0-5786c559a2d9	paragloboside	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G58896AZ; G48059CD; G40585SO	9
GSD:ce35d9a0-c346-5335-8128-5430003359c9	lipopolysaccharide	1A	Canonical named glycan entity	1	llm	upgraded from 2B: canonical named entity	G00022MO	2
GSD:b0c2ecca-a5ae-45b0-99ab-fad359da7570	seminolipid	3A	Umbrella / glycoconjugate class	3	llm	umbrella glycolipid class	G72548RZ; G95090DW	6
GSD:2e0bfe1a-5256-4725-83a4-bb8c240ace11	sialopentaosylceramide	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G13224CR; G96400MT	6
GSD:6570d5b9-de57-4054-a8a2-7480d0e44229	sialosyl paragloboside	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)	G50123ZO; G01767JJ; G00065MO; G98750DB	7
GSD:9de93554-2339-4f06-9b60-2993618a4610	sialyl T antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G65562ZE; G56299XO	6
GSD:801711dd-7758-4216-a3fd-1cb7365b46f8	sialylated LacdiNAc	2C	Composite descriptive phrase	2	llm	compound descriptor	G55583HW	1
GSD:e44b5779-9508-562c-9490-a76618c6623a	lipoteichoic acid	1A	Canonical named glycan entity	1	llm	upgraded from 2B: Lipoteichoic acid is a distinct named biomolecule rather than a simple descriptor+noun form.		1
GSD:649ec44c-8ca8-51fc-ab09-791ddb37fde2	M7BC	2D	Glycoform shorthand code	2	regex	Glycoform shorthand code.		2
GSD:3b8d8834-2436-5048-9e58-0a0c4ed97585	M8B	2D	Glycoform shorthand code	2	regex	Glycoform shorthand code.		2
GSD:d4e20de5-5097-44c5-962e-3223ceccf423	sialylated tetraantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors plus N‑glycan		1
GSD:cc352622-e501-4189-98f3-ef1e958b98c2	SSEA-1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G85497PI; G01187XC	6
GSD:51344d15-206a-41ea-8ad1-a8e30f00b1a5	SSEA-3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G25129BT; G99053DY; G19298OA	8
GSD:dd1653b0-671f-5a14-872b-aaa5a18bcd82	Man3	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G22768VO	3
GSD:a79de7c9-d26d-401a-a575-0342fcf41dae	sulfated LacdiNAc	2B	Single descriptor phrase	2	llm	descriptor + sugar	G18464VS	1
GSD:d7aaf087-4381-5ac9-889c-e4793293c978	Man5	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G32104JU	4
GSD:02e92b82-a0a2-4d1a-a1f6-7cb0dd328fe2	tetraantennary complex-type N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors with N‑glycan		1
GSD:509aa3f3-d759-48ff-a4a4-e815b95e709c	triantennary complex-type N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:ac85d43d-be44-59fa-a524-580fbff1c6e3	Man6	2D	Glycoform shorthand code	2	llm	upgraded from 2B: Short alphanumeric glycoform-like abbreviation	G56038AR	5
GSD:94a6260b-6125-40ef-845f-e6b41e2ae13d	fucosylated trisialylated triantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:08cb7e56-946e-444f-a104-e44c3351d646	trifucosyl Lewis b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G74578MX	2
GSD:3bd312ee-26f6-48a6-ac60-1a62d1369a96	trifucosyl lewis y	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G74917JX	2
GSD:0efdf83c-def5-4353-bee1-e251faca6648	trimannosyl core	1B	Named recurrent structural feature	1	llm	Trimannosyl core is a recognized glycobiology feature.		1
GSD:dc08638c-1152-5e27-adb4-2e805b91dffc	Man-6-P-containing N-glycan	2B	Single descriptor phrase	2	llm	descriptor+N‑glycan		1
GSD:f1b29b21-dd80-4087-8619-200dc424f014	trisialylated biantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:76f55f17-29ee-5938-bef1-bee233b36669	Man7	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G04216GB	3
GSD:dae10330-cb00-4758-a0a4-062bb71f827e	trisialylated triantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:0f3a2ef2-0eb7-4907-a8df-58934e89da01	VIM-2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G22418PV; G01296LJ; G00065MO	10
GSD:6344e425-4651-4d92-8a4f-2662dfd4c27a	cyclic sialyl 6-sulfo Lewis x	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G11148DZ; G80722US; G23322RK; G53231FE	8
GSD:ebbd7ee3-06ee-45d7-89c6-f1b7cb9e019b	sialyl Lewis x-i antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G06597DS	2
GSD:2fcd187a-07d1-4f8a-8e73-e4be32278219	6-sulfo LacNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G13157WZ	5
GSD:652f4ddf-ec6a-59c8-ba0e-46a26173f4b7	Man8	2E	Composition formula	2	llm	composition formula	G91704UR	2
GSD:f58e66b6-a333-454d-a680-cf8046554c05	disialyl Gb5	1A	Canonical named glycan entity	1	llm	named globo-series epitope	G97932OH	5
GSD:80b0fdd0-ff35-4158-affe-375c12812fa6	GalNAc disialyl Lc4 hexasaccharide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G33532XU	3
GSD:a54d603d-774a-475d-b233-2f4722607df0	GQ1b alpha	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G54733XO; G49791FJ	8
GSD:cda84801-eca6-4e11-bd98-80867a9e6212	GT1a alpha	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G02149VR; G17486WU	10
GSD:8e6a621e-97de-4a29-801b-63515b820626	disialyl I antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G54937EM	5
GSD:3dea8810-9a5a-4e56-ac13-be12a66db9e1	2,6-branched O-mannose	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)	G56868BH; G06953DR	5
GSD:171cbaf9-e31b-5be4-ab4c-b9a60cf10330	Man9	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G26508HK	3
GSD:038734aa-0f88-58d2-9ee6-d2f72d775a65	mannan	1C	Non-GAG homo/hetero-polymer	1	regex	Listed non-GAG polymer.		1
GSD:03707cbe-e7ab-48a0-81f8-d15046bfab3f	disialylated biantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:975fddad-f0e8-4474-a9b2-42f6de2219c2	tetrasialylated biantennary N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:720fab0f-04fc-4f4b-80ff-608d90085d7c	ceramide dihexosyl sulfate	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G04416BG; G50926NK; G98482BC	6
GSD:a87bffd5-8013-40b9-83a5-e3087d62e873	cisGM1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G03277YI; G14633CL	7
GSD:19877723-8cc4-55e5-80fb-b478f3358924	mannose-terminated N-glycan	2B	Single descriptor phrase	2	llm	descriptor+context noun		1
GSD:ae7edf02-9951-4110-9932-a68d1721d7ba	disialylated biantennary complex-type N-glycan	2C	Composite descriptive phrase	2	llm	multiple descriptors combined		1
GSD:2f24f668-fcdb-401e-a0e7-8f1d3d9e9b85	GM1a	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G48558GR	3
GSD:bfc302a4-e00e-4599-b7b9-b284c8a80d65	A1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G61751GZ	1
GSD:d40aef87-b0a6-43c5-a9b6-ab3d2bf5fec1	A1G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G69411IG	1
GSD:f02cc66d-18b6-49b8-9939-0ea7fd616ee2	A2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G36191CD	1
GSD:4a6593d8-e327-44af-af08-e8b06954df88	A2[3]G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G66937TJ	1
GSD:e0ae10aa-0136-4989-a4ca-7ba9ace2308b	A2[6]G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G89993FE	1
GSD:dcc80fd1-d059-4fc4-91a1-da95e26f5a05	A2B	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G59471TH	1
GSD:39f78458-3d12-4df4-b72f-041d4e71bf7b	A2BG0	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G59471TH	1
GSD:5c08aef6-f186-491b-81b0-dc7c4f4c7ced	A2BG1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G72718TT	1
GSD:c8c2ba5b-efc6-43a3-a275-2085ec060ff5	A2BG2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G52934AK	1
GSD:a111b088-d71f-4593-879a-db4ee60fccc2	A2BG2S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:ec5bc446-f965-49b7-96b1-12b590fa776d	A2BG2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:29bed233-9d2f-4b00-b6d1-af66d0f1ad4a	A2F1	2E	Composition formula	2	curator	Curator-assigned classification (ground truth)		1
GSD:30f8f6be-d46c-4aa2-86e1-b332a2b0f4f7	A2F1G2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:c9f868cb-fac5-49ae-8c3c-383aeede3923	A2G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G66937TJ	1
GSD:06c7e6db-6faa-4711-b08f-b4492f3b03e4	A2G2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G36191CD	1
GSD:630d6de6-d549-41af-8c5d-02e12fed79fd	A2G2S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:04145041-b133-496d-b2e3-d24cde2a7280	A2G2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:8d1bf9cc-7988-4514-826e-a20f9439a398	A3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G29011JC	1
GSD:5190ec70-2c1b-4d7d-9580-6e9d401ebbcf	A3F1	2E	Composition formula	2	curator	Curator-assigned classification (ground truth)		1
GSD:0321e938-9c0e-413d-8d96-13ef69e99220	A3F1G3S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:b2c1dc47-5cd7-4334-a33e-10aebe51c7dc	A3F1G3S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:3723aa2e-1790-427d-8307-7500a410f36c	A3F2G3S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:722479e7-c9a0-40a4-bcda-0e789d88074a	A3G3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G29857RC	1
GSD:a40db782-19fe-44db-bd82-2495cf6d482f	A3G3S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:184dd92e-f0e4-48b1-90db-d973516caa9c	A3G3S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:d2f114ff-d1cb-463e-a161-dd7faf97f4b4	A4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G20030CU	1
GSD:79251fc6-b37b-4409-98d2-f0489e4397e0	A4F1	2E	Composition formula	2	curator	Curator-assigned classification (ground truth)		1
GSD:8cf727af-11b9-4cae-aa63-55474d4be3fe	A4F1G4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:2673ae25-e1f9-40bc-9262-7fb7582de459	A4F1G4S4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:66fe3ab8-64ef-48f3-9118-7b5f5470ed8d	A4G4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G18938DW	1
GSD:2614c503-0026-4dee-aa73-9076e7d97f75	A4G4S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:8cd340a7-3489-4632-a45c-ae8f34e35a3d	A4G4S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:11932c5a-9a14-43d6-b0ad-58f4e5df62ee	A4G4S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:aec2274a-c362-47e2-a324-a8c43ee58adb	A4G4S4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:2c6608d8-7cc4-4a6c-8e9e-8cbf8f4aed3a	FA1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:47cfdd3c-160e-403b-80dc-d8d1582fa8bb	FA1G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:6a4dee3f-1151-4a95-8e21-7256f60b61b8	FA2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:92627d20-c569-41c1-bcc9-ad9d0b172496	FA2[3]BG1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:2417b372-a45f-4507-865a-1a084158e225	FA2[3]G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:a0af63f5-288a-45dc-b63f-349091649746	FA2[3]G1S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:3d27094e-0b90-4890-b1f5-8c62d12603fb	FA2[6]BG1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:b21bdf12-4702-40cb-9d3b-79c08b925749	FA2[6]G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:63c39c56-6856-48c8-b21c-7077ad7cdd48	FA2B	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:b501ac00-cfbd-4cc3-9382-984fae4ff714	FA2BG2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:0572d113-cbed-42e7-8242-618aad4a21b1	FA2BG2S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:cd1193e4-c689-44bb-a6a6-1720ac7f35d0	FA2BG2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:dd9fc577-a681-45ab-9b3f-23798e89b46f	FA2F1G2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:88720e12-1139-4829-917b-dbc0c4746a65	FA2G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:82e48ded-5109-48eb-b619-6be15008068f	FA2G1S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:07c275b9-fb5b-49ce-80d1-ef02ad901b43	FA2G2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:17ac6666-18f3-4158-870f-70c4bc848187	FA2G2S1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:bbe90bca-4394-41ac-81aa-1abcc7293f2b	FA2G2S2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:845ebdbe-1ef7-4be9-86b1-c01781cd3a41	FA3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:7c78a401-bb4e-4774-bdfc-3c882c0aa294	FA3B	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:70d288cb-9ae4-49b4-b975-aeddf4e4d723	FA3F1G3S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:56adc89d-bb33-47db-85c5-d180cdf85c5c	FA3G3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:deddc552-6be1-4c82-bb17-cb216b15868f	FA3G3S3	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:836fcadb-481f-4aa9-a69f-b1f841b94c5d	FA4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:8a84c7da-6fc4-42ab-a1ed-0a214d7fc344	FA4F1G4S4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:9357eb9b-992f-4bb7-8b2d-515c18a50251	FA4G4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:625e721a-5bae-4520-80d4-d36f7d6a53bc	FA4G4S4	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:08ea19f8-5687-56dc-9812-ce892691fca0	mannosylated lipoarabinomannan	2C	Composite descriptive phrase	2	llm	compound description with two modifiers		1
GSD:f2dab9ed-ecb3-569f-ab8a-93c8083d549d	Manα1-2Manα1-2Manα1-6Manα1-4GlcN-inositolphosphoceramide	2A	Linkage-specified substructure	2	regex	Explicit linkage notation present.		1
GSD:20de8d28-539e-5869-9718-cf9c103f2fc6	Manα1-3Man disaccharide	2A	Linkage-specified substructure	2	regex	Explicit linkage notation present.		1
GSD:7480c595-8fc8-5ffa-b750-26ae3fb65f8a	Manβ1-4Glc-ceramide	2A	Linkage-specified substructure	2	regex	Explicit linkage notation present.		1
GSD:f1dd750e-9e41-44ad-84e6-9c93143c93c7	G0-N	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G61751GZ	1
GSD:185d947d-25ac-487f-a8cd-1f40fda90902	G0B	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G59471TH	1
GSD:141f8373-6d7e-4ab5-998c-4cdb07494912	G0F	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:d7978edc-a840-4dd1-93ad-aba587f95936	G0FB	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:587d6ca7-9216-42f6-9ee9-7959c200ac2a	G1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G66937TJ	1
GSD:58e7d780-da44-4b52-9687-cbccd2275b39	G1F	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:be84bc46-f54e-4622-8163-c101eea0f8d0	G2	2D	Glycoform shorthand code	2	llm	shorthand glycoform code	G36191CD	1
GSD:7f36e3c7-560f-4b7e-8743-e3b0460684f9	G2F	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:95c54ba3-42e7-4abf-b417-b721b28154ec	G2FS1	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:bedae64a-2b9f-4409-98f2-7b85dac1966b	G2FS2	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:36ff0cc9-caf8-4cfc-b8f8-ae42e25ba544	G1M9	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:261d03ad-992a-49b3-8451-77e873bc58f7	G2M9	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:d4f40000-259c-4bb4-99cf-72d1192f03d3	M3 (N-glycan)	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G22768VO	1
GSD:ffdf4005-53e4-4d2c-aae3-a931baefc37b	M5	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G32104JU	1
GSD:988ae5a8-c23c-4a29-b147-e1a50128ab03	M6	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G56038AR	1
GSD:84214e99-9a7a-4093-a76c-103ce6e5db8b	M7	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G04216GB	1
GSD:f53a8841-69ae-424a-9707-ef50a8f84acb	M7AB	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:1cd04026-2429-5e21-a7ab-c21c2150a456	matriglycan	1A	Canonical named glycan entity	1	llm	upgraded from 2B: ‘matriglycan’ is a distinct, well‑known glycan structure rather than a simple descriptor plus noun.		1
GSD:4b1ebf65-553c-491f-9dc3-c0972d504b26	M7AC	2D	Glycoform shorthand code	2	llm	shorthand glycoform code		1
GSD:45b9775b-cfc1-4a8e-b872-c36948dfef72	M8A	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		1
GSD:41948cb9-4e7f-46c7-a4af-2687d94bd70b	M8C	2D	Glycoform shorthand code	2	llm	shorthand glycoform code		1
GSD:9f590180-4ef4-447c-992d-d3d5a0fab93a	M8	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G91704UR	1
GSD:717f1afe-2057-4d17-8fe5-6af9834505ff	M9	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G26508HK	1
GSD:96cf2a55-237d-5a94-8c48-ea3a5399fcc2	methanochondroitin	3A	Umbrella / glycoconjugate class	3	llm	General GAG-like structure		1
