lbl	term_uuid	gtc_id	exact_synonyms_glygen	exact_synonyms_other	related_synonyms	classification	sentence
O-GalNAc core structures	GSD:7cee9dd6-9c05-54fc-947b-afca69f08b9e			O-GalNAc cores|cores 1–4		O-Linked Core	
O-GalNAc glycans	GSD:fa47b325-2aab-42f9-9d2d-b2499fab770c			GalNAc-type O-glycans (CLASS)		O-Linked Core	
O-GalNAc-linked sialoglycans	GSD:365d7f89-b85d-538a-b378-d8b369d75d62					Others	
O-glucose glycan	GSD:d740545e-dea4-57d3-8167-6524292d59ac			O-Glc glycan		Others	
O-glycans	GSD:d0dfe91d-737b-59d2-9fa5-746a0d0ed6ad			O-linked oligosaccharide|Ser/Thr-linked glycans		Others	
oligogalacturonides	GSD:8d7f339e-041d-5fb1-a248-0b53939bc648					Polysaccharide	
oligoglucosides	GSD:4128c067-002f-552f-80b1-b1ba152cce73					Polysaccharide	
oligomannose	GSD:17d4b1f6-7f34-5221-9454-43f9e00c5f98			mannose chain|oligomannosyl structure		Named Structural Motif	
O-linked fucose	GSD:0b39b32b-2f19-537b-a733-8b030a6cf9dd					O-Linked Core	
O-linked Glc-Gal disaccharide	GSD:3a5c03e8-e8e4-50e5-9148-03bd2d061521			O-Linked Glc-Gal		Named Functional Motif	
O-linked glucose	GSD:2492d774-7ee5-590a-abf8-920a662f7221					O-Linked Core	
O-linked keratan sulfate	GSD:cfd82c73-ecd9-5aed-afd2-2a8504110238			O-linked KS		Polysaccharide	
O-linked mannose	GSD:b0d84bd5-9ed4-50a8-bd4f-4c25eea96d25					O-Linked Core	
O-linked N-acetylglucosamine	GSD:627dd562-b899-5fd3-8bb3-c5ad42f31300	G49108TO		O-linked GlcNAc|O-β-GlcNAc		Others	
O-linked sialoglycan	GSD:eede026a-633a-577e-9f11-044f45476b06					Others	
O-mannose glycan	GSD:7f2b0e5a-45b8-5366-9e6d-892f75c98d6a	G59126YU	O-mannosyl glycan	O-Man glycan|O-mannose initiated glycans|O-mannose-based glycan|O-mannosyl glycan		O-Linked Core	
Outer arm fucose	GSD:8fbb3cd6-990c-57ec-bf3c-e6826c0b93ec			Fucα1-3GlcNAc		N-Glycan Type	
O-xylose-linked glycosaminoglycan	GSD:a9cdd507-5984-5398-a41a-79a9dc01deb4			O-xylose-linked GAG chains		Others	
P1 antigen	GSD:d64e0922-936d-54e7-9182-bf7f2ccdba85	G12460DL|G55205ZV		P1 determinant		Named Functional Motif	
paucimannose N-glycan	GSD:146aba34-600b-5250-8eaa-78b19e76b286			Man2-3GlcNAc2|paucimannose|paucimannose glycan|paucimannose-type glycan|paucimannosidic N-glycan|paucimannosidic glycan		N-Linked Type	
P blood group antigens	GSD:24ed65cb-f624-5126-8f05-af4d87063b0f			P-blood group		Named Functional Motif	
pectin	GSD:995a508c-70c2-50eb-b141-863139196fe1					Polysaccharide	
phosphomannan	GSD:d51dc931-a3ca-5b24-a263-ae807bf9cb6e					Polysaccharide	
phosphopeptidomannan	GSD:f2f7171a-ce36-5d80-b7f6-0ae02cc92d57					Polysaccharide	
polyfucose branch	GSD:197964ba-03d7-5f0a-ae09-b7a7e1fd478c					Named Functional Motif	
polyglycosylceramide	GSD:32f8e4bf-4bce-5880-822c-2bbe9e194237					Glycolipid	
poly-lacto-N-biose	GSD:3414ff02-7a95-507c-b1c0-efdc59904ea2					Polysaccharide Repeating Unit	
polymannose	GSD:99e7e9ac-4324-5ba3-bc57-1c68b48aba2a			poly(Manα1-6)|poly(Manα1-6)n backbone		Polysaccharide Repeating Unit	
polymannosyl N-glycan	GSD:b3b96d8e-5d7b-5cd5-adce-1c284a2a8086					N-Linked Type	
poly-N-acetylglucosamine	GSD:2cd03630-ad1c-52c7-b888-7c495783fe10			PNAG		Polysaccharide	
poly-N-acetyllactosamine	GSD:6b4d591f-cc04-56e8-a565-f8198ae070e4			Galβ1-4GlcNAcβ1-3 repeats|poly-LN|poly-LacNAc|poly-N-acetyllactosamine sequences		Named Functional Motif	
polysaccharide A	GSD:68aeaab4-aaf3-5255-adab-08c0a0d5453d					Polysaccharide	
polysialic acid	GSD:bbaf1170-1d3f-55a0-946d-268cf8f7fa4d		PSA|polySia	polySia		Polysaccharide	
pseudomurein	GSD:78ce0d7e-50a2-5e7b-aba2-98aa9bb1ef3d			pseudopeptidoglycan		Polysaccharide	
raffinose	GSD:311d11b4-4abe-5b2e-942a-596c17524017					Polysaccharide	
Rhamnogalacturonan-II	GSD:32bec96f-bd7c-5876-85ff-5a7ef6c01be7			RG-II		Polysaccharide	
Rhamnogalacturonan-I	GSD:7fc01df9-8288-52ae-934e-2e65dfab5a1d			RG-I		Polysaccharide	
rhamnogalacturonan	GSD:ff4ec627-d237-5bcb-a389-251ba334d130					Polysaccharide	
rhamnomannan	GSD:97e3ae1b-7f96-5148-8f6f-02eea317eef6					Polysaccharide	
R-linked α-N-acetylglucosamine	GSD:e3ef0583-e447-564b-8ece-c17fb722d0c7			arginine-linked α-GlcNAc		Others	
Sda antigen	GSD:9bca4dac-0b6f-50fb-9ef6-a9ac73ee810f	G41052GC	Sd(A)			Named Functional Motif	
sialofucosylated glycolipid	GSD:b149418a-ba3f-56cb-aaef-e93051829234					Glycolipid	
sialoglycan polymer	GSD:3b6347fa-116a-58bd-94ef-2398080b4861					Polysaccharide	
sialoglycan	GSD:85de55d3-c7bc-5196-9eb1-80795c555e3e			Sia-containing glycan|sialic acid-containing glycan		Others	
sialoglycolipid	GSD:b157895c-4432-56f2-b984-d30820a25a33					Glycolipid	
sialylated biantennary N-glycan	GSD:2af27ed8-674b-5471-adb0-e8456d8f0ea1		sialyl biantennary			N-Linked Type	
sialylated glycolipid	GSD:35ef481e-71f9-5f52-8643-a36b9c465ab7					Glycolipid	
sialylated glycosphingolipid	GSD:7d7d82c3-15e3-546f-a46d-f6187b6cbf2c					Glycolipid	
sialylated N-acetyllactosamine	GSD:d6d5d9b1-e690-541d-b5fb-6b58d336553a					Named Functional Motif	
sialylated N-glycan	GSD:66cd1dd7-b3bf-5df6-b3c3-69e6354149e1					N-Linked Type	
sialylated O-GalNAc glycan	GSD:2f79f606-6a5c-5ac0-ae1f-b931f02464ef					O-Linked Core	
sialylated O-glycan	GSD:846e7a18-60cf-5ee0-bc8a-337519077430					O-Linked Core	
sialyl Lewis a	GSD:89e36335-2fea-5ef3-a3a8-559985883dad	G00053MO	CA19-9|CA19-9 antigen|SLe^a|SLea|Slea	sLeA|sLea|sialyl-Lea	CA19-9	Named Functional Motif	
CA19-9	GSD:d5606d4d-5018-4a71-997a-6b29f4187a99			carbohydrate antigen 19-9	sialyl Lewis a	Carbohydratae Antigen (CA)	
sialyl Lewis x	GSD:32e928fb-1550-5e0a-945f-2218ac79b83c	G00054MO	SLe(x)|SLe^x|SLex|Slex	sLeX|sLex|sialyl-Lex		Named Functional Motif	
sialyl-Tn antigen	GSD:56c1c4e3-2f6b-59db-b7c5-46e6567feea0			sTn		Named Functional Motif	
sialyl-Tn	GSD:562a7a4f-9d8e-5682-ab69-9673ba3599c6	G36123IU		Neu5Acα2-6GalNAcα|sTn antigen|sialyl-Tn antigen		Named Functional Motif	
Siaα2-3Galβ1-4GlcNAc	GSD:96329dbf-4f65-50bc-899b-539e25568d12					IUPAC String	
Siaα2-6Galβ1-4GlcNAc	GSD:e04fcc39-8f52-5bae-8af2-bd7eafdf3b15	G03509EL				IUPAC String	
S-linked glucose	GSD:7dfddd82-e3ae-57a6-a604-155faf7ca2a8			S-linked Glcp		Others	
SSEA-4	GSD:eb14b505-7275-5888-9bc7-4b07107af0b3	G84263XI		stage-specific embryonic antigen-4		Glycolipid	
starch	GSD:ad85463a-3111-5186-94b3-b074cddaead4					Polysaccharide	
sulfated galactan	GSD:2ecd47eb-1349-5683-b84c-d6986496c78d					Polysaccharide	
sulfated glucuronosyl glycan	GSD:bf54b03e-d24b-5886-997b-2a52ede11173					Named Functional Motif	
sulfated glycan	GSD:a2613919-1e6d-5428-aba4-5997bad45f8b					Others	
sulfated glycosaminoglycan	GSD:037ed9e9-fe72-5b57-9710-13e1e02b20c4			sulfated GAG|sulfated glycosaminoglycan chains		Polysaccharide	
sulfated N-glycan	GSD:b8143bd5-05c6-5619-b1c1-33b000af2e7c					N-Linked Type	
sulfated O-GalNAc glycan	GSD:98efacdd-c1d7-5dc7-8d0b-06c6d5967cef			sulfated mucin-type glycan		O-Linked Core	
sulfated terminal β-linked GalNAc	GSD:e0e0fe41-e988-5381-a1a6-932e18899850			sulfated-GalNAc		Named Functional Motif	
sulfatide	GSD:f9726a72-e7bc-5b9f-bd06-b85ea099456d	G72548RZ				Glycolipid	
T antigen	GSD:5b6ede6e-9829-5690-a1a3-d1883b62d46d	G00031MO	TF antigen	O-GalNAc-Gal|TF antigen|Thomsen-Fridenreich antigen		O-Linked Core	
teichoic acid	GSD:9a4adb24-5192-5017-8286-14828329a8e1			teichoic acid polymer		Polysaccharide	
terminal fucose	GSD:caf303a2-143f-51b8-887a-9fdc7e34a48c			terminal Fuc residue		Named Functional Motif	
terminal galactose	GSD:0c32fd16-6ba8-5f21-aacc-e67e0b71acc1			exposed galactose|terminal Gal residue		Named Functional Motif	
terminal glucuronic acid	GSD:9555ca61-aba2-5e44-947a-a6faeb0ccf73					Named Functional Motif	
terminal mannose	GSD:9b46c1bc-c89c-51be-a6bd-cb98e416888c			terminal Man		Named Functional Motif	
terminal N-acetylgalactosamine	GSD:cd483672-3ab7-5734-a40a-b489a133c301			terminal GalNAc residue		Named Functional Motif	
terminal N-acetylglucosamine	GSD:7562f115-e4a2-5461-8cea-be68033775d0			exposed GlcNAc residues|terminal GlcNAc residue		Named Functional Motif	
terminal sialic acid	GSD:7e50b61a-ea7e-5c9c-860e-a5296d3b2339			Terminal Sia residue		Named Functional Motif	
terminal α1-6 mannose	GSD:8759d2e6-5d43-508d-bec0-a9cdf395b049			terminal α1–6Man		Named Functional Motif	
terminal α-linked fucose	GSD:57fe1544-36ee-52f8-9802-d4ffc1867028					Named Functional Motif	
terminal α-linked-galactose	GSD:ddda1d65-b417-51b2-8b8a-d5e9e86509b5			terminal α-galactose residue		Named Functional Motif	
terminal α-linked mannose	GSD:a7da3922-7453-5cc0-897b-4bb463ece798					Named Functional Motif	
terminal β-linked galactose	GSD:2d13a3a8-39c6-5ce0-ba08-9ea5582c6ff4					Named Functional Motif	
terminal β-linked N-acetylgalactosamine	GSD:e16fd11e-688e-51f7-b405-dd0bb8b17879					Named Functional Motif	
tetraantennary N-glycan	GSD:aee918cb-25f8-50b7-8174-0b8aee6bfdb1					N-Linked Type	
Tn antigen	GSD:25e2c658-4349-5dc1-ba23-f9dbe366f1e7	G57321FI		O-GalNAc|Thomsen-Nouveau antigen		Named Functional Motif	
trehalose-6,6-dimycolate	GSD:341d1909-eedf-5265-b3ee-cc78924c8a00					Glycolipid	
triantennary N-glycan	GSD:1471df12-b367-5f77-b47f-f8e31ae9707f			tri-antennary N-glycan		N-Linked Type	
tri-mannose	GSD:e42c7aa4-8b95-5f1c-8fe3-c263093d7b5a			tri-Man		Others	
truncated core 1 O-glycan	GSD:65bba6d7-e07f-577c-b95a-b2c2a4b87b0b			truncated core 1 structure		O-Linked Core	
truncated N-glycan	GSD:cd5c19d8-26c9-5540-b4b5-005c0b9f735c					N-Linked Type	
truncated O-GalNAc glycan	GSD:76a59293-d803-5115-8d91-bfe83bf96e4d					O-Linked Core	
truncated O-glycan	GSD:1a0dea3e-99dc-509f-b1e7-72f22adabe1d			incomplete O-glycan		O-Linked Core	
type-1 unit	GSD:fe424dbf-51ec-555c-926c-3f41890b54c4			Galβ1-3GlcNAc|type-1 chain repeating unit		Named Functional Motif	
type-2 unit	GSD:b9977dd8-7121-5b87-8b2a-75ca0fbeba71			Galβ1-4GlcNAc|type-2 chain repeating unit		Named Functional Motif	
type-4 chain	GSD:8a16aa22-c6c7-504a-b0a9-c4e7a92d84ea					Glycolipid	
xylan	GSD:a99ba2f3-c21f-5d4f-b958-3576be9c9188					Polysaccharide	
xylogalacturonan	GSD:db5ed7f2-45f9-5e86-9eb1-bc412c33afc7	G00367NK				Polysaccharide	
xyloglucan	GSD:6e9249d9-1b1b-5dbf-8561-76de16821a00	G25326UC				Polysaccharide	
xyloside	GSD:b301b0d9-2ac9-589a-9cd1-4539be294d96					Others	
xylosylated glycans	GSD:9f46e63f-395f-55cb-9230-c011b593b822					Others	
α(1-3)-linked N-acetylgalactosamine	GSD:88ff1b8f-bd93-5eb3-b4ae-8ba697b28122			α(1-3)GalNAc		Named Functional Motif	
α(1-6)-linked glucose branch	GSD:10dc47f9-89f6-59b5-aa58-22fd27d80b6e			periodic α1–6Glc branch		Named Functional Motif	
α2-3 sialic acid branch	GSD:7cf55d9d-bacd-51cb-8500-ef798d5c7e9b			α2-3Sia branch		Named Functional Motif	
α2-3 sialyllactosamine	GSD:5bb8d8c8-c3d1-5fce-b193-1c59dd7fa899			α2-3sialyllactosamines		Named Functional Motif	
α-Gal epitope	GSD:d7673802-e0d9-5653-b39e-076f90358a60	G24432YB|G27798EJ	a-Gal antigen	αGal		Named Functional Motif	
α-linked mannose	GSD:f4f8ff22-b9e8-5e3e-a230-680056063e4b					Monosaccharide	
α-linked O-fucose modification	GSD:c8753ce2-90c7-5f6d-8408-8771b0fbcdd3					Named Functional Motif	
α-linked polyglucose	GSD:7a5bd3ed-8cf1-590b-a0d0-361864a820eb			α-linked polyglucose nanofilaments		Polysaccharide	
α-mannan	GSD:32bfa27a-d28a-584a-9a53-7b24e852853f					Polysaccharide	
α-mannose-containing glycan	GSD:a2975b50-96f1-55c1-9723-87fb404221fb					Named Functional Motif	
α-sialyl linkage	GSD:074c18ce-d0db-5638-b2f1-18f7c5525a09			α-sialyl linkages		Named Functional Motif	
β-(1,3)-glucan	GSD:602bc4bf-da9f-505c-8a5d-d3de8020b72d			β-1,3-glucan|β-1,3-glucan oligosaccharides		Polysaccharide	
β-(1,4)-glucan	GSD:3f1f513f-f9df-5475-8bb2-ca5235e3de00			β-1,4-glucan oligosaccharides|β-1,4-glucans		Polysaccharide	
β-(1,4)-mannuronate	GSD:e8b1df23-5a49-5fd5-ba6a-9e4701e140d1					Polysaccharide Repeating Unit	
β2-linked mannose polymer	GSD:a682ef18-7c67-5471-bd36-7a689b7f6114					Polysaccharide	
β2-linked N-acetylglucosamine	GSD:444a9542-bd90-5bca-a8ea-78fc7b905dc4			β1-2GlcNAc		Named Functional Motif	
β4-linked N-acetylgalactosamine	GSD:2f37ec04-7fb3-58c1-8f7b-4995e61eda24			β1-4GalNAc		Named Functional Motif	
β4-linked N-acetylglucosamine	GSD:be8acfd3-8241-5bb3-8e7f-21348d2fbb17			β1-4GlcNAc		Named Functional Motif	
β6-linked N-acetylglucosamine	GSD:787243fc-eea6-5ac3-b76f-ff0e45698791			β1-6GlcNAc		Named Functional Motif	
β-D-xyloside	GSD:b1e943e8-3b74-5ca0-b624-b7035cb5867d					Others	
β-glucan	GSD:6c978e40-5b00-580b-b7c6-94bc0e970ccc					Polysaccharide	
β-linked galactose	GSD:ad1e80a4-92ce-5bc2-b892-ffbbfaff2a25	G65889KE		β-linked Gal		Named Functional Motif	
β-linked Kdo	GSD:09f4cd98-a90c-5754-a796-8af8fcfd5b82					Monosaccharide	
β-N-acetylgalactosaminide	GSD:ab43ce77-050f-5ca4-aee7-38cc6bd7430d					Others	
β-N-acetylglucosaminide	GSD:bbaa2aeb-973c-5aa6-bc50-82c31077387a					Named Functional Motif	
α2-6-sialylated 6-sulfo-LacNAc	GSD:43d51cfc-740a-4ed3-b6e3-8ab535549b19	G41145LF	6-sialyl-6-sulfo LN|α2-6-sialylated 6-sulfo-LacNAc				
2-fucosyl GD1b	GSD:68240b82-aec7-43a6-9f7c-7e9ef1c7e2cb	G67383AR					
2-fucosyl GM1	GSD:e2e22b19-83c1-4c8b-999d-fe2fdff4941f	G56526JU|G91532KA	fucosyl GM1				
3-sialyl LN (type 2)	GSD:5e72cf7d-2a6a-44be-a29f-bcf3bf1260ba	G10203DW					
3'-sulfo Lewis a	GSD:a357412d-d20c-41b8-bec8-943295031c56	G78706CK	3'-Sulfo Le^a|3'-Sulfo Lea|3'-Sulfo Lewis a|3'-Sulfo-Lea|3'-sulpho-Le(a)|3-O-sulfo-Le(A)|SuLe(a)				
3'-sulfo Lewis X	GSD:3c0d59b6-d558-45d7-998e-ea6531a58295	G12295TB	3'-Sulfo Lewis x|3'-sulfo Le^x|3'-sulfo Lex|3'-sulfo-Le(x)				
6,6′-dissulfo sialyl Lewis X	GSD:dec6e71e-7eeb-409a-860a-bbb40a6aacd3	G00659GQ	6,6'-bissulfo sialyl Lewis X|6,6'-disulfo sLex				
6-sialyl GalNAc	GSD:55e259ab-b5a0-4aa9-8d0d-9295762c2b22	G08371CD	6-Sialyl LN (type 1/2)|6-sialyl LN|sialyl Tn antigen				
9-O-acetyl GD3	GSD:0e9b1351-6dfb-4858-bbab-ebe2758c9be9	G74121RX	9-O-Ac-GD3|9-O-Acetyl-GD3|9-O-Acetylated GD3|CD60b|acGD3	O-acetyl GM3			
alpha-galactosylceramide	GSD:bdd3ddc1-ed42-472f-adb3-0a8e726fb4c3		alpha-GalCer|α-GalCer				
asialylated biantennary N-glycan	GSD:321dc49d-61cb-4258-bf08-06e2beb82bac		asialo diantennary				
B-GM1	GSD:0c97b41d-c987-4746-8c44-cee9fcbd8367	G11485ID					
blood group A type 1	GSD:ae80aeaa-7f09-4089-bbf8-f939ca66e601	G66163TI	Blood group A(1)|blood group A antigen type 1				
blood group A type 2	GSD:48d6e2a5-4952-47e2-8500-2570e071f47c	G74353FF	A Type 2|Blood group A type 2 chain				
blood group A type 3	GSD:eee3138f-0bab-4932-b162-1beac3aae6c3	G99315PE	A antigen (type 3)|A type 3 antigen|blood group A type 3				
blood group A type 4	GSD:7cd6a813-ec70-42d2-b3fd-a9301d75b6b6	G17480GI|G37830TX					
blood group B type 1	GSD:0cd556eb-645e-4998-8348-4c3c3149852b	G31734OS	blood group B type 1 tetrasaccharide				
blood group B type 2	GSD:35f63383-e163-47c1-8217-36222c16ebcd	G34881WK|G94956AW	blood group B type 2				
blood group B type 4	GSD:49f25ae6-69db-47ad-98eb-7f77ac4a169f	G25216QA					
blood group H type 2	GSD:b8046ab9-0606-4e88-a54a-941c84879541	G61459JW|G70519XK	Blood group H (type 2)|H type 2|H type 2 antigen|H type 2 chain|blood group H type II|type 2 chain H				
blood group H type 3	GSD:d68839cf-9b6b-4677-b896-ff47818e01a2	G94435QH	H antigen (type 3)|H type 3|Type 3 chain H				
blood group H type 4	GSD:1a26c7ae-0b93-4167-b65b-4573d611d8f8	G35778AN|G98465JN					
chondroitin sulfate/dermatan sulfate	GSD:7b7c9b97-5851-432f-b9ab-d0b64beb2d6e		CS/DS|chondroitin/dermatan sulfate				
core-fucosylated biantennary N-glycan	GSD:38063ec7-c1bc-4a6a-8a19-d2a1e317f1cf	G78059CC	core-fucosylated diantennary				
core-fucosylated biantennary complex-type N-glycan	GSD:afe9c1b5-d40d-478a-832e-a4147447e01b	G78059CC	core fucosylated diantennary complex-type				
Cytolipin R	GSD:b3ecdd11-4db0-453a-aa7e-0d2545bca353	G57710SU					
desialylated glycan	GSD:6862c102-0fcf-4a4e-b188-7094e1e0b892						
difucosylated tetraantennary N-glycan	GSD:9affda3c-0fcc-4a74-8476-9b9bb7506499						
dimeric Lewis x	GSD:980d0f39-e1ff-430f-bf65-3008c9cc2fd9	G79535HZ	DimLex^x|Lewisx-Lewisx|Lex-Lex|diLe(x)|dimeric Le(x)				
diphosphorylated Man6	GSD:85895dff-5b70-499b-8726-33dc83b66175	G54792LL	Diphosphorylated Man_6				
disialosyl globopentaosylceramide	GSD:068e7d8b-8192-4ae8-a4f4-8e5c8c5a2832	G97932OH	DSGb5|Disialosyl Gb5|Disialosylgalactosylgloboside|V3NeuAcIV6NeuAc-Gb5Cer				
disialyl T antigen	GSD:b9e8ce59-d573-4456-b8ad-9918d317a450	G01614ZM	di-sialyl T antigen|disialyl-T antigen|disialylated T-antigen				
disialylated fucosylated glycan	GSD:877a19d2-fc97-47d9-87b2-2bb658660f4b						
Forssman glycolipid	GSD:2436d14a-7e6b-4999-b356-0d6bb0c091d9	G80062GG	Forssman antigen|Globopentosylceramide				
fucosylated tetraantennary N-glycan	GSD:5b125ad0-374d-4de2-96dd-0c3ac0133556						
fucosylated asialo-biantennary N-glycan	GSD:d38f6ccf-3575-4e17-b5db-17d3abc498bb		fucosylated asialo-diantennary				
fucosylated biantennary N-glycan	GSD:73b79304-0089-48fc-afd4-82b84a0c1e53		fucosylated bisialo-diantennary				
fucosylated disialylated biantennary N-glycan	GSD:866054d3-8ca5-45cc-b742-d8bd1bd25a03		fucosylated disialo-biantennary				
fucosylated lacdiNAc	GSD:b7812d76-e661-481a-bc07-21470f1c5f7f	G02240AO	(GalNAc)1 (GlcNAc)1 (LFuc)1|Fucosylated lacdiNAc|LDN-F|LDNF	fucosylated LacdiNAc			
fucosylated triantennary N-glycan	GSD:b209bf99-fab6-4875-aaad-65c95d126517						
galabiosylceramide	GSD:da549328-b83d-479b-99f0-efa14c372db8	G67988RO					
Gb5	GSD:41b2fe6b-f72e-4862-8242-b434ce339bf6	G99053DY	Globopentaosylceramide				
GD2	GSD:06872bcd-5545-43c5-8c70-f53410a81c69	G02657AK					
GD3	GSD:1962f1ca-4998-4433-9692-49d9e37ac274	G98544DH					
globotriaosylceramide	GSD:6e3afd42-7bff-4b4d-b452-32d2229776d7	G00059MO	CD77|CTH|GL3|Gb(3)|Gb3|Gb_3|P^K antigen|Pk antigen|Trihexosylceramide|ceramide trihexoside|globotriaosylceramide				
GM4	GSD:faa9b001-357d-4549-8f5d-8666e506e650	G30207PZ	Sialylated GalCer				
GP1c	GSD:52c8b4cc-801c-46fb-a0a3-223e0714c250	G26203DP|G93805MV					
GQ1c	GSD:031b8604-2a27-4fb3-84c4-56e35afce5bd	G99524KA					
GT1a	GSD:82405327-1de3-4ba5-89aa-493256abad99	G68110IF					
GT2	GSD:4311fc01-86a7-47bd-8284-13f4e625161e	G36476BA					
GT3	GSD:6d78ffdb-0cc7-4ec2-b143-6ee6fbf173ac	G93899SO					
isoglobotetraosylceramide	GSD:8b2bb3d0-c127-4cc6-bd84-5a68c437cfbd	G57710SU					
lactotriaosylceramide	GSD:49675e4a-8a13-483b-a42b-96d1d2fa7139	G06239NA	Lc(3)Cer|Lc3|Lc_3				
LcGg4	GSD:761b72f4-76a5-4cab-b30b-ade71d188c64	G62554JH					
Lewis y	GSD:c05f267e-fa66-4b1a-bd6c-4a250acb5376	G00052MO	Le(y)|LeY|Le^y|Ley				
monosialylated N-glycan	GSD:e2909941-ee43-4892-9296-c6912bb05d2d						
monosialylated biantennary N-glycan	GSD:6524e495-c7f4-42c9-8e2d-c01e194e0738		monosialyl biantennary|sialylated biantennary|sialylated diantennary				
monosialyl Gb5	GSD:6d1bae04-defe-4652-9469-676dbd4ed2cf	G32254QI	GL-7 globoseries ganglioside|GL-7 globoseries ganglioside (SSEA-4)|Monosialyl Gb5|SSEA-4|Sialosyl galactosyl globoside				
monosulfated globopentaosylceramide	GSD:46528fde-50a7-4fb7-be35-df185e4a262b	G80193TN	Monosulfated globopentaosylceramide				
monosulfated globotetraosylceramide	GSD:1183ab6f-e3e9-4202-8e32-9848db7d5c9a	G05297EK					
N-acetyl GM2	GSD:acce63a2-f38e-4f65-b35a-2ab99054214a	G79389NT	GM2 (Neu5Ac)	GM2 / Neu5Ac			
N-acetyllactosamine (type 1)	GSD:e505676f-d5ef-4f0c-9bad-d27deeb1b783	G00056MO	LacNAc type 1|Type 1 LN|Type-1 lactosamine				
N-acetyllactosamine (type 2)	GSD:bcbf9c2c-276b-435e-a92d-848168f7bbf6	G00055MO	LacNAc|Type 2 LN				
N-glycolyl GM2	GSD:31190c26-ebe4-406d-a196-64f29bf55e6e	G56478LD					
nonfucosylated N-glycan	GSD:16c6fd08-f6b9-458a-b3c0-dc80fd54f9c8						
nonfucosylated biantennary N-glycan	GSD:00a9532d-c9db-4be3-8b99-b887e9c93f97						
nonfucosylated triantennary N-glycan	GSD:eacbb5c9-0c0b-4549-aad3-934ad108e24f						
nonsialylated N-glycan	GSD:b557a57f-2ea1-404a-a7f1-8ef061e6ff1b						
Para-Forssman glycolipid	GSD:5cb29215-6edb-456a-a92c-2aed67ead976	G51699SI					
paragloboside	GSD:eb2cc2a3-09f1-4c42-b7dd-d33349ea3dea	G58896AZ					
seminolipid	GSD:61fc05da-859e-45a7-af36-8b943a7bfbe0	G72548RZ					
sialopentaosylceramide	GSD:b7195725-a7d4-4717-afe0-2c903c708c2e	G13224CR					
sialosyl paragloboside	GSD:6580fbd2-fc40-47bb-875e-1cfbbfe285f0	G01767JJ|G50123ZO					
sialyl T antigen	GSD:65e6cb17-b6e0-4548-83c1-6dd8fdf13c42	G65562ZE					
sialylated LacdiNAc	GSD:4e77fa02-7b3e-4502-961c-eb3128018267	G55583HW	Sialylated LDN|sialylated-LacdiNAc				
sialylated tetraantennary N-glycan	GSD:8e044e80-03e0-433f-84b8-89c3b621e02a						
SSEA-1	GSD:5a76e56e-4c2c-4bb9-ac80-226bc6d5b7f2	G85497PI					
SSEA-3	GSD:263b5566-6e4e-41d1-9f12-c8339e6bf126	G25129BT					
sulfated LacdiNAc	GSD:d7547529-9384-46c2-b359-ad455f8cba6d	G18464VS	4'-O-sulfated LacdiNAc|4'-sulfated LDN|sulfated LDN				
tetraantennary complex-type N-glycan	GSD:283cf9cf-37cb-4610-ac96-5c27e7b5e032						
triantennary complex-type N-glycan	GSD:9598324c-4144-4a36-9363-8b23621950d1		Triantennary complex-type				
fucosylated trisialylated triantennary N-glycan	GSD:569eebe7-730f-4e21-8029-7101bad0fbe9						
trifucosyl Lewis b	GSD:4b1954a1-a4b9-4cda-9c47-4df9e13e87b4	G74578MX	trifucosyl-Leb antigen				
trifucosyl lewis y	GSD:d7bc6703-411b-4861-b5aa-285099666f06	G74917JX	trifucosyl Ley				
trimannosyl core	GSD:f7cdf4f8-f80e-4ee7-9e4b-9bac207c7b34						
trisialylated biantennary N-glycan	GSD:2f0d9e16-7fe0-4093-a503-040879ec7636						
trisialylated triantennary N-glycan	GSD:02e8291e-5f4e-4181-98a5-ca7f185050fc						
VIM-2	GSD:22a00f8d-9902-4eef-8bc2-2b91bbce1310	G22418PV					
cyclic sialyl 6-sulfo Lewis x	GSD:f9c67ff8-e0cd-4772-a4c7-35b24484fd05	G11148DZ					
sialyl Lewis x-i antigen	GSD:314fa931-c71a-4fc8-a467-409f7a0862a3	G06597DS					
6-sulfo LacNAc	GSD:453286d3-7558-4839-97f4-bc5a28f8f1d2	G13157WZ					
disialyl Gb5	GSD:7e394a4e-6c54-41e5-8225-85a90636f0d1	G97932OH	disialosyl Gn5				
GalNAc disialyl Lc4 hexasaccharide	GSD:70d9524d-9de9-4c8e-b739-a432f718e949	G33532XU					
GQ1b alpha	GSD:f506d575-33cd-4a4e-bf39-3475f3cda04c	G54733XO					
GT1a alpha	GSD:f77f9ead-efc0-4fe7-b422-53bee58ffb3f	G02149VR	GT1aa				
disialyl I antigen	GSD:6992f144-8ef9-40aa-a942-8d55e3b98803	G54937EM	disialyl I				
2,6-branched O-mannose	GSD:e9b1ae37-8e37-4a2d-8ede-afb838162591	G56868BH	2,6-branched O-mannosyl glycan				
disialylated biantennary N-glycan	GSD:3c655cb1-316b-4790-83a6-9ee427fad7d5						
tetrasialylated biantennary N-glycan	GSD:bcdcd7e0-2593-46c4-bd21-9ef67fdaaa50						
ceramide dihexosyl sulfate	GSD:054bf2b0-7e12-4db2-ad82-3f65435eeb78	G04416BG					
cisGM1	GSD:2815cc13-f565-4868-9cf2-9e7800568658	G03277YI	GM1b		GM1b		
