term,avg_similarity,count,max_similarity
glcnacβ1-4gal,0.586697,1,0.586697
ggas,0.586641,2,0.633008
alternating sugars,0.586605,1,0.586605
preassembled undecaprenol-pp-linked oligosaccharides,0.585674,1,0.585674
species-specific milk oligosaccharides,0.585464,1,0.585464
sulfates,0.585008,1,0.585008
difucosylated oligosaccharides,0.584847,1,0.584847
aldohexose group,0.584785,1,0.584785
glycerolipids,0.583820,2,0.699822
paucimannose-type glycans,0.583691,1,0.583691
nulo-glycans,0.583149,2,0.850358
sialyl-lewis x,0.583114,9,0.735208
β-linked kdo residues,0.582530,1,0.582530
branched n-glycan,0.582020,1,0.582020
o-fucose,0.580088,18,0.790968
gne,0.579488,1,0.579488
ceramides,0.578858,3,0.622871
mannose-6-p,0.578658,1,0.578658
brain ganglioside gm2,0.578579,1,0.578579
mdos,0.578302,3,0.740724
protein o-man residues,0.577243,1,0.577243
fibronectin type ii repeats,0.576152,1,0.576152
neolacto-series,0.575947,2,0.677174
hs polymers,0.575693,1,0.575693
core glycans,0.574809,1,0.574809
galβ1-3galnacαs/t,0.574796,1,0.574796
small leucine-rich proteoglycans,0.573993,1,0.573993
animal glycans,0.573864,4,0.786328
skeletal type,0.573799,1,0.573799
3-o-sulfation on glcnac,0.573363,2,0.689247
bisected complex-type n-glycans,0.573157,1,0.573157
n-acetyllactosamine moieties,0.572577,1,0.572577
kdn,0.572512,1,0.572512
cartilage proteoglycan,0.571591,1,0.571591
rrvs,0.571570,1,0.571570
reducing sugars,0.570840,3,0.622944
nucleotide-activated sugars,0.570699,3,0.876428
glcα1-po4-man,0.570454,1,0.570454
hybrid,0.568564,12,0.760916
b4galt1,0.568542,1,0.568542
galβ1-3glcnacβ1-3galβ1-4glcnac,0.567645,1,0.567645
o-linked glycoproteins,0.567581,1,0.567581
sias,0.566923,33,0.934353
glycosphingolipids,0.566912,36,0.941422
type-4,0.566746,3,0.782151
pamps,0.565860,2,0.758885
mucins,0.565281,13,0.894801
branched α2-3sia,0.564532,1,0.564532
ganglioside gm1,0.564156,1,0.564156
βgalnac,0.563621,1,0.563621
galα1-4galβ1-4glc,0.562897,1,0.562897
mannose glycans,0.562619,1,0.562619
sia,0.561776,9,0.826685
sulfated terminal β-linked galnac,0.561655,1,0.561655
fucosylated and xylosylated glycans,0.561525,1,0.561525
galβ1-3galnacα-o-protein moieties,0.560944,1,0.560944
galα1-3glcα1- disaccharide,0.560936,2,0.648338
hemicellulose,0.560789,3,0.721193
decasaccharide,0.560755,2,0.594443
unsaturation,0.560645,1,0.560645
nucleotide sugars,0.559979,9,0.927701
glc3man9glcnac2,0.559870,2,0.595784
simple mono- or disaccharides,0.559690,1,0.559690
lewis x–modified glycans,0.559115,1,0.559115
lipooligosaccharides,0.557785,1,0.557785
biantennary complex,0.557243,1,0.557243
heterogeneous glycan structures,0.557210,1,0.557210
xyloglucan,0.557153,1,0.557153
sulfated glycosaminoglycan,0.556135,2,0.706494
α1–6man,0.556026,3,0.650550
short hyaluronan chains,0.555851,1,0.555851
o-linked mannose,0.554585,3,0.766325
"n-, 2-o, and 6-o sulfated forms",0.553759,1,0.553759
keratan sulfates,0.553627,2,0.599502
sugars,0.552848,2,0.773062
longer oligosaccharide,0.551940,1,0.551940
parasite glycans,0.551699,1,0.551699
α-sialyl linkages,0.551482,1,0.551482
lewis blood group antigens,0.551124,2,0.630181
terminal α-linked mannose or fucose residues,0.550947,1,0.550947
glucuronic acids,0.549882,1,0.549882
outer core oligosaccharide structure,0.548943,1,0.548943
natural glycans,0.548931,3,0.555444
endomucin,0.548741,1,0.548741
mannosides,0.548579,1,0.548579
complex and hybrid-type n-glycans,0.547622,1,0.547622
core 1 and 2 o-galnac glycans,0.547469,5,0.624338
gb3,0.546818,3,0.616912
microbial surface glycans,0.546781,1,0.546781
mannose residues,0.546535,2,0.784561
type 1 blood group h structure,0.546034,1,0.546034
certain glycan structures,0.545977,2,0.816090
hybrid and complex-type n-glycan,0.545609,2,0.588344
monosaccharide precursors,0.544418,1,0.544418
neutral monosaccharides,0.544172,1,0.544172
hs glycosaminoglycan chains,0.544146,1,0.544146
galβ1-4glcnacβ1-3 repeats,0.544017,1,0.544017
o-galnac,0.543206,23,0.831664
lewis x (lex),0.543137,1,0.543137
nuclear and cytoplasmic glycoproteins,0.542944,1,0.542944
o-galnac (tn),0.542918,2,0.634910
gbps,0.542489,19,0.877416
terminal or subterminal glycans,0.542145,1,0.542145
glc3man9glcnac2-p-p-dol,0.540535,1,0.540535
ppgalnacts,0.540481,1,0.540481
o-mannosyl glycans,0.539981,1,0.539981
core 1 and core 2 o-galnac glycans,0.539534,2,0.578335
polysialic acid,0.538956,4,0.774906
type-1 h determinants,0.538106,2,0.602059
neu5acα2-8,0.536010,1,0.536010
sialylated los structures,0.535676,1,0.535676
galactose-containing glycans,0.535585,2,0.687308
protein-linked glycans,0.535505,1,0.535505
α- or β-linked sugars,0.535285,1,0.535285
cellobiose,0.534345,1,0.534345
terminal lewis b blood group antigen-containing glycans,0.534162,1,0.534162
"trehalose-6,6-dimycolate",0.533609,1,0.533609
lipopolysaccharides,0.533147,6,0.932452
hybrid and complex n-glycans,0.533014,2,0.736465
o-glycan terminal motifs,0.531780,2,0.795156
sialylated glycolipids,0.531453,1,0.531453
more complex glycans,0.531256,2,0.542181
highly branched structures,0.531068,1,0.531068
glycosidic linkages,0.530985,2,0.729942
disaccharides and trisaccharides,0.530176,1,0.530176
extensins,0.530036,4,0.634442
lysosomal hydrolases,0.529925,1,0.529925
arabinosyl gts,0.529849,1,0.529849
sialylated n-acetyllactosamines,0.528695,2,0.794654
nonsulfated glycosaminoglycan,0.528017,1,0.528017
callose,0.527282,4,0.685770
zwitterionic structures,0.526896,1,0.526896
glycopeptides,0.525571,10,0.913001
brain glycolipids,0.523938,1,0.523938
arabinose,0.523848,1,0.523848
glycan chains,0.523768,6,0.891510
decasaccharide 8,0.522768,1,0.522768
10-mer,0.522116,1,0.522116
chondroitin sulfate,0.521847,8,0.818851
unique glycans,0.521311,1,0.521311
hs chain,0.521247,1,0.521247
chondroitin sulfate b,0.520956,1,0.520956
intact glycans,0.520294,2,0.593981
slex structure,0.519701,1,0.519701
αgal,0.519163,1,0.519163
branched,0.519105,4,0.805237
arthroseries glycans,0.517784,1,0.517784
glycosaminoglycan chains,0.517429,3,0.659694
core 1 o-glycan structure,0.517373,1,0.517373
n-glcnac,0.517298,2,0.632490
8epi-di-n-acetylacinetaminic acid,0.516464,1,0.516464
a determinants,0.516220,1,0.516220
galnac-gd1a heptasaccharide 7,0.516083,1,0.516083
cores 1–4,0.515563,2,0.524882
substituted galacturonans,0.515339,1,0.515339
terminal glucuronic acid,0.515147,1,0.515147
cell-surface glycans,0.514347,11,0.894012
lewis x–like structures,0.514284,1,0.514284
glcnacαβ1-2manα1-6,0.513960,1,0.513960
βglcts,0.513918,1,0.513918
fully sialylated chains,0.513864,1,0.513864
phosphates,0.513280,2,0.574323
glycans from bacteria or less well-characterized organisms,0.513184,1,0.513184
branching,0.513054,2,0.643776
1-6-linked β-galp,0.512912,1,0.512912
cbm,0.512610,1,0.512610
carboxyl groups,0.511312,1,0.511312
samps,0.511074,3,0.639411
galactosylated glycoproteins,0.510981,1,0.510981
membrane glycolipids,0.510940,1,0.510940
exposed glcnac residues,0.510165,1,0.510165
n-acetylated amino sugars,0.510090,1,0.510090
gd1 ganglioside,0.507715,1,0.507715
lipid-linked sugar donors,0.507578,1,0.507578
glcnacβ1-2manα1-3,0.507244,1,0.507244
α-dystroglycan,0.507105,7,0.783239
mannose,0.506889,8,0.662913
fructans,0.506634,3,0.786089
2-fucosyllactose,0.506469,2,0.612642
o-linked glycoconjugates,0.505761,1,0.505761
polysaccharide backbone,0.504256,1,0.504256
epss,0.504079,8,0.943966
group b,0.503638,1,0.503638
lipoteichoic acids,0.502744,2,0.709220
heptose residues,0.502453,1,0.502453
crds,0.502248,7,0.690985
"β-1,4/β-1,3-glucan",0.502114,1,0.502114
neutral glycans,0.501725,1,0.501725
siaα2-3/6galβ1-4glcnac,0.501231,2,0.523604
"galα1,3galα- disaccharide",0.501023,1,0.501023
core 3 and 4 o-galnac glycans,0.500740,2,0.597031
manlam,0.499725,4,0.672196
glcnac,0.499353,12,0.866746
chitobiose,0.498915,1,0.498915
m6p recognition marker,0.498318,1,0.498318
target glycans,0.497994,1,0.497994
n-linked glycoproteins,0.497820,2,0.533993
matrix proteoglycans,0.497690,1,0.497690
α2-6gal(nac) linkages,0.497012,1,0.497012
chondroitin sulfate chain,0.496685,1,0.496685
glycoprotein ligands,0.495833,1,0.495833
carboxylates,0.495398,1,0.495398
type-3,0.495278,3,0.698884
high-mannose or paucimannose type,0.494976,1,0.494976
ser/thr-linked o-mannose glycans,0.494385,1,0.494385
glycoconjugates and gbps,0.494048,1,0.494048
monosaccharide building blocks,0.493873,1,0.493873
mucin-like o-glycosylated membrane proteins,0.493610,1,0.493610
o-acetylated sialic acid receptors,0.493398,2,0.498722
oligogalacturonides,0.493304,6,0.684400
neu5ac,0.492943,4,0.623272
chitin elicitors,0.492550,1,0.492550
terminal sialic acids,0.492414,2,0.494253
terminal fucose residues,0.491360,1,0.491360
glucan chains,0.491333,3,0.605414
nucleotide-activated oligosaccharides,0.490892,1,0.490892
sialyl lewis x structure,0.490841,2,0.697838
modifications of glycans,0.490192,1,0.490192
dolichol-linked,0.489863,1,0.489863
glcnacβ1-4glc-cer,0.489786,1,0.489786
dha,0.489690,1,0.489690
challenging targets,0.489647,1,0.489647
cpgs,0.489266,1,0.489266
"β-1,3-glucan",0.489167,1,0.489167
glycan arrays,0.489061,2,0.654798
galabiose,0.488561,3,0.554571
lipid-phosphate-linked sugars,0.487801,1,0.487801
n-linked tetrasaccharide,0.487138,3,0.571224
core 1 and core 2 o-glycans,0.486569,1,0.486569
glc3man9glcnac2-asn,0.486113,1,0.486113
galnac disaccharide,0.485951,1,0.485951
o-glc glycans,0.485462,1,0.485462
glc disaccharide,0.485443,1,0.485443
trans-serrate,0.485435,1,0.485435
core-1 o-glycan,0.485060,1,0.485060
sialylated n-glycans,0.484817,1,0.484817
hnk-1,0.484258,1,0.484258
gpi glycans,0.484187,1,0.484187
extracellular glycoconjugates,0.483350,2,0.648094
phosphomannans,0.483231,1,0.483231
gal,0.482905,5,0.856164
membrane-derived oligosaccharides,0.482719,1,0.482719
repeating sulfate-substituted galnacβ4glcaβ3 disaccharides,0.482398,1,0.482398
penultimate β-linked gal residues,0.482291,1,0.482291
rhizobium exopolysaccharides,0.482182,1,0.482182
terminal glycan sequences,0.481759,1,0.481759
tsrs,0.481751,10,0.954542
8epi-di-n-acetyllegionaminic acid,0.481298,1,0.481298
terminal groups,0.480944,1,0.480944
neural ganglioside structures,0.480834,1,0.480834
arthro-series glycolipids,0.480411,1,0.480411
polyanionic,0.479788,1,0.479788
gm1,0.479568,3,0.719896
glcaβ1-3galβ-r,0.479007,1,0.479007
egf repeats,0.478968,7,0.963945
fucosylated,0.478695,3,0.617647
o-glycosylated proteins,0.477965,1,0.477965
sialic acid residues,0.477834,5,0.599733
human milk oligosaccharides,0.477689,6,0.656393
9-o-acetylated glycoconjugates,0.477325,1,0.477325
high-mannose and paucimannose glycans,0.477108,1,0.477108
three classes of glycans,0.476966,1,0.476966
techoic acids,0.476370,1,0.476370
relatively small glycans,0.476343,1,0.476343
homogeneous peptide n-glycans,0.475993,1,0.475993
sphingomyelin,0.475909,1,0.475909
di-n-acetylacinetaminic acid,0.475850,1,0.475850
gsl,0.475623,5,0.714900
branched structures,0.475414,2,0.644697
fucosylated glycoconjugates,0.475379,1,0.475379
t-antigen,0.475043,1,0.475043
glcnac-t,0.474420,1,0.474420
glcnac-p,0.472788,2,0.638255
related nonulosonic sugars,0.472593,1,0.472593
reducing terminal sugar,0.472109,1,0.472109
carbohydrate moieties,0.472075,1,0.472075
"3,6-dideoxyhexoses",0.471872,3,0.692405
mucin-type domains,0.471796,1,0.471796
ctls,0.471116,1,0.471116
hydroxyproline-rich proteoglycans,0.470933,2,0.582826
galnacα1-3gal,0.470849,1,0.470849
n-glycan corneal-type ks,0.470686,1,0.470686
type i,0.470300,2,0.576010
c-mannose,0.469027,3,0.684171
type-i h determinants,0.468610,1,0.468610
schistosome glycans,0.468542,1,0.468542
β-propeller,0.468295,2,0.469572
glycolipids and glycoproteins,0.468191,1,0.468191
defined structure,0.467918,1,0.467918
6′-sulfo-slex,0.466366,2,0.532770
xylan,0.466305,2,0.652089
phenolic glycosides,0.465025,1,0.465025
pectin-derived oligogalacturonides,0.464951,1,0.464951
n-acetyl-d-glucosamine,0.464421,2,0.614946
n-glycosylation,0.463749,4,0.605838
matrix glycans,0.463294,1,0.463294
glcaβ1-3galnac repeats,0.462626,1,0.462626
lppg,0.462418,2,0.467577
mannose-containing glycans,0.462218,1,0.462218
m3 glycan,0.461956,2,0.515474
core-1 structure,0.461406,1,0.461406
polysia,0.461135,13,0.735428
bisecting glcnac residues,0.461032,1,0.461032
high-molecular-weight glycoproteins,0.460739,1,0.460739
gpis,0.460545,5,0.529053
psgl-1,0.459504,2,0.498994
highly defined glycan structures,0.459286,1,0.459286
udp-α-gal,0.458936,1,0.458936
gpi,0.457412,7,0.580273
introduced glycans,0.457197,1,0.457197
o-linked fucose,0.457028,2,0.620486
terminal glcnac,0.456993,1,0.456993
chondroitin sulfate a and c,0.454865,1,0.454865
ndp-sugar-dependent,0.454548,1,0.454548
n-glycosylated,0.454354,4,0.696136
matriglycan,0.454303,3,0.617340
fullerenols,0.454225,2,0.602293
n-acetylneuraminic acid,0.453266,2,0.627323
secretory pathway glycans,0.453214,1,0.453214
gal-man-po4- repeats,0.453121,2,0.525695
β1-4glcnac,0.452774,1,0.452774
o-fuc,0.452667,7,0.732733
β-sandwich,0.452504,2,0.455836
n-glycome,0.452217,2,0.531344
n-acetylglucosamine,0.452185,5,0.899645
misfolded glycoproteins,0.452047,1,0.452047
4-amino-4-deoxy-l-arabinose [l-ara4n],0.451164,1,0.451164
mammalian glycosaminoglycan chains,0.450564,2,0.586358
terminal sia residues,0.450468,1,0.450468
altered tumor glycans,0.450368,1,0.450368
sialic acid,0.449797,19,0.764798
core 1,0.449693,7,0.648578
o-galnac residues,0.449352,1,0.449352
dinacbac,0.449318,1,0.449318
six-carbon ketoses,0.448995,1,0.448995
dolichol sugars,0.448816,1,0.448816
pectin,0.448447,7,0.739868
4-sulfated chondroitin sulfate,0.448317,1,0.448317
six-carbon aldoses,0.448024,1,0.448024
hs polysaccharides,0.446601,1,0.446601
sialylated compounds,0.446542,1,0.446542
sialylated,0.446398,4,0.763978
animal glycosaminoglycans,0.446201,2,0.447563
glcβcer bond,0.445944,1,0.445944
lewis x,0.445848,3,0.540854
egf repeat,0.445535,2,0.539115
endogenous glycoconjugates,0.444875,1,0.444875
sulfated galactans,0.444239,1,0.444239
terminal β-galactose,0.444208,1,0.444208
lpss,0.443753,2,0.601194
heparan sulfate chains,0.442933,1,0.442933
natural polysaccharides,0.442567,1,0.442567
m1–m3,0.442358,1,0.442358
n-linked,0.441518,1,0.441518
host glycans,0.441225,4,0.774562
perlecan,0.440975,1,0.440975
heparan sulfate,0.440797,13,0.669659
trans-delta,0.440341,1,0.440341
pseudomurein,0.439584,3,0.649783
glycans with terminal fuc,0.439424,1,0.439424
sulphate residues,0.439389,1,0.439389
cores,0.439305,2,0.604399
gd1a,0.439304,2,0.524169
m7bc,0.439240,5,0.505375
n-linked oligomannose,0.438494,3,0.644836
egf-like domains,0.437865,1,0.437865
small soluble glycans,0.437462,1,0.437462
linear homo-oligomers,0.437300,1,0.437300
tprs,0.436750,1,0.436750
"mono-, di-, and trisulfated disaccharides",0.436628,2,0.528287
lipid a-core,0.436608,4,0.639423
β-trefoil,0.436220,1,0.436220
similar glycosaminoglycans,0.435913,1,0.435913
poly-lacto-n-biose structures,0.435383,1,0.435383
bsa-glcnacβ1-4glcnac,0.435338,1,0.435338
released glycans,0.434992,2,0.443498
galabiose-containing oligosaccharides,0.434813,1,0.434813
type ii,0.434542,3,0.663177
dolichyl-linked n-glycosylation precursors,0.434356,1,0.434356
α2-6gal(nac),0.434105,1,0.434105
cry5b ligands,0.433625,1,0.433625
sulfated-gag-binding proteins,0.433544,2,0.459326
n-linked oligosaccharides,0.433385,1,0.433385
gal (b),0.432720,2,0.447062
fucose,0.432624,1,0.432624
terminal gal or galnac residues,0.432518,1,0.432518
complex-type biantennary n-glycans,0.432277,1,0.432277
extracellular polysaccharides,0.431961,3,0.498798
hyaluronan,0.431925,23,0.749897
polysias,0.431318,2,0.604987
biantennary n-glycan,0.430710,2,0.540022
murnac acceptors,0.430336,1,0.430336
galactoceramides,0.429940,1,0.429940
glucoceramides,0.429349,1,0.429349
highly branched complex-type n-glycans,0.428881,1,0.428881
deoxysugars,0.428839,2,0.544071
polyglycosylceramides,0.428699,1,0.428699
leishmania lpg,0.427882,1,0.427882
sialylated o-galnac glycans,0.427851,1,0.427851
β-1-3 branches,0.427813,1,0.427813
c18-lipid tail,0.427801,1,0.427801
"2-deoxy and 1,2-cis-linkages",0.427314,1,0.427314
2′-fucosyllactose,0.425655,1,0.425655
d-aldoses,0.425312,1,0.425312
o-acetylated species,0.425191,1,0.425191
lacdinac structures,0.425106,1,0.425106
d-glycero-d-galacto,0.424991,1,0.424991
sialyl-tn structure,0.423900,2,0.427986
mannan chains,0.423029,1,0.423029
colitose,0.422977,1,0.422977
sialic acid termini,0.422734,2,0.475616
o-galnac cores,0.422016,1,0.422016
truncated o-galnac glycans,0.421720,1,0.421720
biantennary,0.421386,3,0.541931
glucosamines,0.421067,1,0.421067
polymannosylated glycans,0.420913,1,0.420913
β-linked polymers,0.420902,1,0.420902
glycoprotein o- and n-glycans,0.420895,1,0.420895
hexose,0.420481,2,0.468490
galβ1-4glcnac-r,0.420349,1,0.420349
neu5gc,0.419831,5,0.661541
host cell-surface glycoconjugates,0.419809,1,0.419809
chitin,0.419636,4,0.719448
eps,0.419262,4,0.605122
rhamnomannans,0.419086,1,0.419086
o-antigens,0.418753,6,0.619957
paracrystalline microfibrils,0.418728,1,0.418728
mycolic acids,0.418700,1,0.418700
sulfated heparin pentasaccharide,0.418361,1,0.418361
erad substrates,0.417898,1,0.417898
man3glcnac2,0.417436,2,0.516970
galactose functionalized dendrimeric arms,0.417379,1,0.417379
raffinose oligosaccharides,0.417103,1,0.417103
hapten sugars,0.416643,2,0.429445
lipoglycans,0.416478,1,0.416478
the common classes of glycans,0.416077,1,0.416077
kdo,0.415808,2,0.566493
galactose,0.415315,5,0.587260
grps,0.414762,4,0.470688
cell-surface receptors,0.414077,1,0.414077
complex exopolysaccharides,0.413832,1,0.413832
hs side chains,0.413373,1,0.413373
o-linked,0.413310,2,0.455799
nulo,0.413047,2,0.436532
alditol acetates,0.412420,1,0.412420
maternal glycans,0.412270,1,0.412270
di-n-acetylpseudaminic acid,0.412074,1,0.412074
polyprenol,0.411943,1,0.411943
manα1-2manα1-6manα1-4glcnα1-6inositolphospholipid,0.411834,1,0.411834
glycocalyx,0.411298,2,0.492098
ganglioside series,0.410548,1,0.410548
o-acetyl groups,0.410049,1,0.410049
disaccharide repeating units,0.409862,1,0.409862
specific sugar structures,0.409721,1,0.409721
leishmania lipophosphoglycan (lpg),0.409675,1,0.409675
simple monosaccharides,0.409415,1,0.409415
gipls,0.408601,1,0.408601
lipid-linked glycan,0.408224,2,0.548461
complex n-glycan,0.407513,3,0.512794
adhesins,0.407453,3,0.510692
terminal gal residues,0.407444,3,0.558690
certain sialylated glycolipids,0.407110,1,0.407110
classical a and b blood group determinants,0.406851,1,0.406851
high-mannose n-glycan,0.406792,2,0.501730
surface glycans,0.406642,1,0.406642
7/8/9-tri-o-acetyl sias,0.405945,1,0.405945
galα1-3galβ1-4glcnac-r,0.405791,2,0.457608
oligoglucosides,0.404820,1,0.404820
sialylated los,0.404424,1,0.404424
dol-p-p,0.404410,3,0.488280
cyclohexene,0.404389,1,0.404389
cellulose,0.404182,5,0.677525
lea and leb glycans,0.404153,1,0.404153
slea,0.404139,3,0.566725
teichoic acid polymers,0.403883,1,0.403883
cell wall lipoteichoic acids,0.403040,1,0.403040
o-glcnacylation,0.402072,8,0.534659
parallel strands,0.401304,1,0.401304
o-linked oligosaccharide,0.401192,1,0.401192
glypican family,0.400999,2,0.490912
branched-chain sugars,0.400880,2,0.428574
biological domains,0.400695,1,0.400695
e-pha-binding glycoproteins,0.400483,1,0.400483
sialyl-6-sulfo-lex structures,0.400341,1,0.400341
certain glycans,0.400275,2,0.465134
2-aa,0.400090,1,0.400090
6-deoxyhexoses,0.399991,1,0.399991
mucin,0.399912,1,0.399912
paucimannose,0.399554,3,0.581615
increased tetra-antennary branching,0.399222,1,0.399222
low-molecular-weight heparins,0.398546,1,0.398546
starch polymers,0.398115,1,0.398115
prokaryotic nonulosonic acids,0.397901,1,0.397901
extended gal-containing glycans,0.397631,1,0.397631
o-linked mucins,0.397354,1,0.397354
small glycans,0.397009,1,0.397009
6-o sulfated forms,0.396651,1,0.396651
microfibrils,0.396459,1,0.396459
gt-b fold,0.395757,1,0.395757
cytoplasmic glycoconjugates,0.395539,1,0.395539
dolichol-p-mannose,0.394942,3,0.584558
sialic acid types,0.394753,2,0.515907
sialic acid-containing glycans,0.394431,1,0.394431
glycoforms of glycoproteins and glycolipids,0.394160,1,0.394160
isolated glycoprotein,0.393952,1,0.393952
glycan isomers,0.393793,1,0.393793
structural polysaccharides,0.393696,1,0.393696
o- and n-glycans,0.392822,1,0.392822
simple glycans,0.392190,1,0.392190
outer-chain glycosylation,0.391941,1,0.391941
arabinogalactan proteins,0.391913,2,0.447763
keratan sulfate–related antigens,0.391884,1,0.391884
specific carbohydrate structures,0.391872,2,0.415851
monoantennary,0.391319,1,0.391319
ogt/oga,0.391231,1,0.391231
sea urchin glycans,0.390987,1,0.390987
classical,0.390955,1,0.390955
galα1–4gal,0.390622,1,0.390622
heparan sulfate/heparin,0.390534,1,0.390534
glycan ligands,0.390533,2,0.442116
secreted glycan chains,0.390369,1,0.390369
poly(manα1-6)n backbone,0.389699,1,0.389699
dermatan sulfates,0.389378,1,0.389378
siaα2-6galβ1-4glcnac,0.388247,1,0.388247
arthroseries cores,0.388100,1,0.388100
glycan side-chains,0.387740,1,0.387740
mature sialoglycoconjugates,0.387039,1,0.387039
proteoglycan core proteins,0.386828,1,0.386828
soluble low-molecular-weight compounds,0.386805,1,0.386805
human glycans,0.386566,1,0.386566
paucimannosidic,0.386564,2,0.505975
heparin chains,0.384864,1,0.384864
polyglycerol chains,0.384714,1,0.384714
phosphorylated glycans,0.384245,1,0.384245
core structures,0.384189,3,0.537851
glca,0.384109,1,0.384109
slex,0.383725,3,0.414493
amino groups,0.383052,2,0.395399
pyranose (p) ring,0.382492,1,0.382492
man5glcnac2,0.382412,2,0.445888
α-helix,0.382033,1,0.382033
all major glycan classes,0.381461,1,0.381461
lignin,0.381085,1,0.381085
phosphopeptidomannans,0.380492,1,0.380492
complex carbohydrate structures,0.380366,1,0.380366
core 3,0.379891,2,0.394212
gt-a enzymes,0.379623,1,0.379623
o-glc,0.379417,3,0.429282
free glycans,0.379157,1,0.379157
heparin hexasaccharide,0.378816,1,0.378816
α-linked o-fucose modification,0.378729,1,0.378729
lewis a,0.378466,1,0.378466
glucosamine,0.377971,3,0.423795
myelin-associated glycoprotein,0.377458,1,0.377458
most major glycan classes,0.377197,2,0.438173
a and b blood group determinants,0.377086,1,0.377086
viral glycoproteins,0.377006,1,0.377006
o-glcnacase,0.376893,3,0.448228
o-glycosylated mucins,0.376881,1,0.376881
murnac residues,0.376878,2,0.386232
(n-1)-polysaccharides,0.376833,1,0.376833
exopolysaccharide,0.376579,1,0.376579
glcnacs,0.376426,1,0.376426
glc3man9glcnac2asn,0.376074,1,0.376074
cell-surface glycoconjugates,0.375780,2,0.399516
anionic sugars,0.375549,1,0.375549
glycan structural components,0.374976,1,0.374976
llos,0.374702,1,0.374702
terminal galnac,0.373733,1,0.373733
glycan strands,0.373547,3,0.412370
aldehydes,0.373299,2,0.424925
o-acetylated sias,0.373263,2,0.413253
truncated core 1 structures,0.373189,2,0.438662
lewis antigens,0.373110,3,0.579350
cellulose-binding modules,0.372760,1,0.372760
β-linked gal residues,0.372295,1,0.372295
core trisaccharide,0.371880,3,0.449139
"peracetylated 2,3,4-tri-o-methyl-hexoses",0.371456,1,0.371456
β-sheet-containing domains,0.371339,1,0.371339
therapeutic glycoproteins,0.371041,1,0.371041
hexnac and hexosamine residues,0.370895,1,0.370895
glucomannans,0.370778,1,0.370778
structures,0.370759,4,0.464034
distinctive glycans,0.369995,1,0.369995
selectins,0.369320,1,0.369320
14-sugar glycan,0.369197,1,0.369197
4epi-di-n-acetyllegionaminic acid,0.369126,1,0.369126
linear and/or branched structure,0.368550,1,0.368550
complex glycolipids,0.368356,1,0.368356
o-antigen,0.368120,1,0.368120
extending chito-motifs,0.367914,1,0.367914
galβ1-3glcnac,0.367647,1,0.367647
glcnac phosphodiester,0.367466,1,0.367466
sulfatide,0.367451,5,0.383891
thrombospondin type 1 repeats,0.367180,1,0.367180
selected hemicelluloses,0.366952,1,0.366952
galactosylated,0.366743,1,0.366743
galnacβ1-4glcnacβ1-structure,0.366663,1,0.366663
glcnacα-arg,0.366538,1,0.366538
sugar chains,0.366479,1,0.366479
gt1c,0.366372,1,0.366372
o-linked mannose core,0.365734,1,0.365734
o-polysaccharides,0.365288,2,0.418815
inner core,0.364922,2,0.430357
inositol-acylated gpi proteins,0.364736,1,0.364736
methanochondroitin,0.364175,6,0.401960
β-trefoil proteins,0.363994,2,0.375062
cellulose microfibrils,0.363652,2,0.403022
chiral nematic phases,0.363440,1,0.363440
galectins,0.363064,7,0.434062
n- and o-sulfate esters,0.362486,1,0.362486
g0 n-glycan,0.362336,1,0.362336
polysialic acids,0.362275,1,0.362275
glc,0.361716,1,0.361716
gm1 ganglioside,0.361587,1,0.361587
chondroitin sulfates,0.361561,2,0.445706
sialylated o-glycans,0.360830,1,0.360830
glycolipid species,0.360466,1,0.360466
undecaprenol diphosphate-linked o-pss,0.359970,1,0.359970
gb4,0.359871,2,0.433020
6-o-sulfo groups,0.359783,1,0.359783
abo(h) blood group glycans,0.359747,1,0.359747
1-3-linked β-gal backbone,0.359598,1,0.359598
structurally related polysaccharides,0.359330,1,0.359330
o-β-glcnac,0.358542,3,0.462058
glycosphingolipid glycans,0.357955,1,0.357955
sphingolipids,0.357614,2,0.393385
mucin glycoproteins,0.357303,2,0.358371
dystroglycan,0.357020,1,0.357020
α-methylmannoside,0.356713,1,0.356713
individual monosaccharides,0.356316,1,0.356316
type-1 and -2 units,0.355884,1,0.355884
reducing end sugar,0.355815,1,0.355815
chitin oligosaccharide,0.355392,2,0.418777
wall teichoic acids,0.355259,2,0.409730
sialylated glycosphingolipids,0.354407,1,0.354407
most natural or designed glycans,0.354360,1,0.354360
intermediate llo structures,0.354184,1,0.354184
c-9 ester,0.353797,1,0.353797
terminal sugar residues,0.353626,1,0.353626
immunoglobulin superfamily,0.353567,1,0.353567
hyaluronan chains,0.353062,1,0.353062
exogenous glycans,0.352275,3,0.428856
nonhuman glycans,0.352133,3,0.429457
most glycans,0.351827,1,0.351827
fibronectin type ii repeat,0.351762,1,0.351762
ogn,0.351721,1,0.351721
mannose thioglycoside,0.351673,1,0.351673
recombinant glycoproteins,0.350805,1,0.350805
ganglioside,0.350141,2,0.392860
gg4,0.349471,1,0.349471
amyloid protein precursors,0.349232,1,0.349232
o-galnac-gal (t),0.348932,1,0.348932
lipoteichoic acid,0.348791,1,0.348791
unwanted glycans,0.348452,1,0.348452
gt families,0.348306,2,0.364420
sulfated,0.347830,2,0.370871
